-0.1000	0.7000	0.0242	441.8878	-0.7274	-2.6107
0.7000	1.2000	0.0432	423.4903	-0.5260	-5.3052
1.2000	1.7000	0.0383	1408.3178	-0.8668	-5.1564
1.7000	2.3000	0.0596	330.8231	-0.4979	-2.6421
2.3000	2.8000	0.0510	575.3057	-0.8049	-5.0999
2.8000	3.4000	0.0463	528.7680	-0.7474	-4.4565
3.4000	3.8000	0.0489	422.7968	-0.6002	-2.6723
3.8000	4.3000	0.0437	601.7284	-0.7583	-2.4421
4.3000	4.8000	0.0334	1558.2751	-0.9389	-2.0077
4.8000	5.5000	0.0364	618.2030	-0.8246	-1.9418
5.5000	6.2000	0.0302	3606.8590	-1.3327	-2.3896
6.2000	7.0000	0.0281	737.8440	-1.1931	-2.1637
7.0000	7.5000	0.0242	710.4185	-1.0998	-4.2904
7.5000	7.9000	0.0186	4527.3854	-1.3168	-2.6972
7.9000	8.5000	0.0219	506.7444	-1.0513	-5.2702
8.5000	9.5000	0.0188	569.9569	-1.1605	-2.0778
9.5000	11.5000	0.0177	532.0018	-1.1231	-1.9112
11.5000	14.0000	0.0166	671.2817	-1.0081	-3.6185
14.0000	18.0000	0.0174	456.5712	-1.0166	-1.9035
18.0000	22.0000	0.0230	391.6668	-0.9309	-2.5956
22.0000	26.0000	0.0258	448.4133	-0.9253	-2.2747
26.0000	32.0000	0.0176	517.9153	-1.0718	-2.6004
32.0000	40.0000	0.0148	490.4909	-1.0502	-4.7308
40.0000	53.0000	0.0100	496.6633	-1.0198	-2.5400
53.0000	71.0000	0.0097	205.7617	-0.9540	-2.0567
